trade_id,epic,signal_type,entry_time,exit_time,entry_price,exit_price,position_size,pnl_pips,pnl_currency,duration_minutes,status
T000227,CS.D.GBPUSD.MINI.IP,BULL,2025-06-11 10:20:00,2025-06-11 12:30:00,1.35,1.353387220688155,41418.4,33.872206881548905,140.29326135027452,130,CLOSED_WIN
T000228,CS.D.EURUSD.MINI.IP,BULL,2025-06-11 10:30:00,2025-06-11 12:30:00,1.1437799999999998,1.1464052194819738,53843.93,26.252194819740282,141.35213402204585,120,CLOSED_WIN
T000229,CS.D.GBPUSD.MINI.IP,BULL,2025-06-11 10:30:00,2025-06-11 12:30:00,1.34996,1.3532203391721098,41418.4,32.60339172109772,135.0380319661114,120,CLOSED_WIN
T000230,CS.D.EURUSD.MINI.IP,BULL,2025-06-11 12:30:00,2025-06-11 12:50:00,1.1477199999999999,1.1462199999999998,63286.77,-15.000000000000568,-94.9301550000036,20,CLOSED_LOSS
T000233,CS.D.USDJPY.MINI.IP,BEAR,2025-06-11 13:05:00,2025-06-11 13:25:00,144.733,144.883,620.21,-15.000000000000568,-93.03150000000353,20,CLOSED_LOSS
T000232,CS.D.GBPUSD.MINI.IP,BULL,2025-06-11 13:05:00,2025-06-11 13:45:00,1.3521500000000002,1.3502000000000003,47708.49,-19.499999999998963,-93.03155549999505,40,CLOSED_LOSS
T000236,CS.D.GBPUSD.MINI.IP,BULL,2025-06-11 13:50:00,2025-06-11 15:30:00,1.35163,1.354606090909091,45800.15,29.760909090907894,136.30541004999452,100,CLOSED_WIN
T000231,CS.D.EURUSD.MINI.IP,BULL,2025-06-11 13:05:00,2025-06-11 16:30:00,1.1463299999999998,1.1492008916573346,62021.03,28.708916573347842,178.05565760631038,205,CLOSED_WIN
T000234,CS.D.EURUSD.MINI.IP,BULL,2025-06-11 13:35:00,2025-06-11 16:30:00,1.1464599999999998,1.1492725,60780.61,28.125000000001066,170.94546562500648,175,CLOSED_WIN
T000235,CS.D.EURUSD.MINI.IP,BULL,2025-06-11 13:45:00,2025-06-11 16:30:00,1.14651,1.1493225,59540.19,28.125000000001066,167.45678437500635,165,CLOSED_WIN
T000239,CS.D.GBPUSD.MINI.IP,BULL,2025-06-11 16:30:00,2025-06-11 17:00:00,1.35521,1.355322090909091,52495.16,1.120909090910338,5.884230207279275,30,CLOSED_WIN
T000240,CS.D.EURUSD.MINI.IP,BULL,2025-06-11 17:00:00,2025-06-11 19:55:00,1.1496,1.1481,68322.16,-15.000000000000568,-102.48324000000389,175,CLOSED_LOSS
T000238,CS.D.USDJPY.MINI.IP,BEAR,2025-06-11 16:15:00,2025-06-11 20:05:00,144.507,144.657,613.58,-15.000000000000568,-92.0370000000035,230,CLOSED_LOSS
T000242,CS.D.USDJPY.MINI.IP,BEAR,2025-06-11 17:00:00,2025-06-11 22:50:00,144.557,144.2764554465325,683.22,28.054455346747886,191.6736498200509,350,CLOSED_WIN
T000237,CS.D.EURUSD.MINI.IP,BULL,2025-06-11 15:05:00,2025-06-11 22:55:00,1.1479599999999999,1.1507725,59540.19,28.125000000001066,167.45678437500635,470,CLOSED_WIN
T000243,CS.D.USDJPY.MINI.IP,BEAR,2025-06-11 21:30:00,2025-06-11 22:55:00,144.49,144.21439976239213,657.29,27.560023760787544,181.14928017728045,85,CLOSED_WIN
T000246,CS.D.USDJPY.MINI.IP,BEAR,2025-06-11 23:55:00,2025-06-12 00:10:00,144.181,144.33100000000002,729.32,-15.000000000000568,-109.39800000000416,15,CLOSED_LOSS
T000244,CS.D.USDJPY.MINI.IP,BEAR,2025-06-11 22:00:00,2025-06-12 00:45:00,144.358,144.043,657.29,31.499999999999773,207.04634999999848,165,CLOSED_WIN
T000247,CS.D.EURUSD.MINI.IP,BULL,2025-06-12 00:20:00,2025-06-12 00:50:00,1.1508099999999999,1.1524911428571427,71473.65,16.811428571428255,120.1574161714263,30,CLOSED_WIN
T000241,CS.D.GBPUSD.MINI.IP,BULL,2025-06-11 17:00:00,2025-06-12 01:05:00,1.3554700000000002,1.35818,52555.51,27.09999999999768,142.42543209998783,485,CLOSED_BE
T000249,CS.D.USDJPY.MINI.IP,BEAR,2025-06-12 02:25:00,2025-06-12 05:40:00,143.948,143.79922222222226,777.35,14.877777777775236,115.65240555553581,195,CLOSED_WIN
T000250,CS.D.USDJPY.MINI.IP,BEAR,2025-06-12 02:55:00,2025-06-12 05:40:00,143.954,143.81002222222224,777.35,14.397777777776355,111.9211255555445,165,CLOSED_WIN
T000251,CS.D.USDJPY.MINI.IP,BEAR,2025-06-12 03:25:00,2025-06-12 05:40:00,143.937,143.77942222222225,777.35,15.757777777776028,122.49308555554195,135,CLOSED_WIN
T000252,CS.D.GBPUSD.MINI.IP,BULL,2025-06-12 05:55:00,2025-06-12 06:00:00,1.35881,1.3568600000000002,63386.86,-19.499999999998963,-123.60437699999342,5,CLOSED_LOSS
T000255,CS.D.USDJPY.MINI.IP,BEAR,2025-06-12 06:50:00,2025-06-12 07:05:00,143.713,143.863,807.55,-15.000000000000568,-121.13250000000458,15,CLOSED_LOSS
T000245,CS.D.GBPUSD.MINI.IP,BULL,2025-06-11 23:55:00,2025-06-12 07:10:00,1.35688,1.3549300000000002,56101.76,-19.499999999998963,-109.39843199999419,435,CLOSED_LOSS
T000248,CS.D.GBPUSD.MINI.IP,BULL,2025-06-12 00:20:00,2025-06-12 07:10:00,1.3569,1.35495,54979.73,-19.499999999998963,-107.21047349999431,410,CLOSED_LOSS
T000253,CS.D.USDJPY.MINI.IP,BEAR,2025-06-12 06:20:00,2025-06-12 07:15:00,143.816,143.966,807.55,-15.000000000000568,-121.13250000000458,55,CLOSED_LOSS
T000254,CS.D.EURUSD.MINI.IP,BULL,2025-06-12 06:30:00,2025-06-12 07:40:00,1.1522,1.1506999999999998,80754.87,-15.000000000000568,-121.1323050000046,70,CLOSED_LOSS
T000256,CS.D.USDJPY.MINI.IP,BEAR,2025-06-12 08:40:00,2025-06-12 09:50:00,143.835,143.59582222222224,730.21,23.917777777776905,174.65000511110475,70,CLOSED_WIN
T000257,CS.D.USDJPY.MINI.IP,BEAR,2025-06-12 09:05:00,2025-06-12 10:25:00,143.807,143.54542222222221,730.21,26.15777777777737,191.00670911110814,80,CLOSED_WIN
T000258,CS.D.USDJPY.MINI.IP,BEAR,2025-06-12 09:45:00,2025-06-12 11:00:00,143.692,143.41075,730.21,28.125,205.3715625,75,CLOSED_WIN
T000260,CS.D.USDJPY.MINI.IP,BEAR,2025-06-12 10:10:00,2025-06-12 11:00:00,143.695,143.40913410301954,753.5,28.586589698045373,215.39995337477188,50,CLOSED_WIN
T000263,CS.D.EURUSD.MINI.IP,BULL,2025-06-12 11:30:00,2025-06-12 12:30:00,1.1598,1.16178,83507.16,19.800000000000928,165.34417680000774,60,CLOSED_WIN
T000259,CS.D.GBPUSD.MINI.IP,BULL,2025-06-12 10:05:00,2025-06-12 12:35:00,1.3576400000000002,1.361159190817572,57961.63,35.191908175717934,203.97803606749378,150,CLOSED_WIN
T000265,CS.D.EURUSD.MINI.IP,BULL,2025-06-12 12:30:00,2025-06-12 12:35:00,1.1621499999999998,1.16225,85711.75,1.0000000000021103,8.571175000018089,5,CLOSED_WIN
T000261,CS.D.GBPUSD.MINI.IP,BULL,2025-06-12 10:25:00,2025-06-12 12:40:00,1.3583100000000001,1.36182,59920.67,35.09999999999902,210.32155169999416,135,CLOSED_WIN
T000262,CS.D.GBPUSD.MINI.IP,BULL,2025-06-12 10:45:00,2025-06-12 12:40:00,1.35829,1.3618231852561518,59920.67,35.33185256151761,211.71082778273515,115,CLOSED_WIN
T000264,CS.D.GBPUSD.MINI.IP,BULL,2025-06-12 11:50:00,2025-06-12 13:05:00,1.3586600000000002,1.3620018898265542,64236.28,33.41889826554034,214.67057062767637,75,CLOSED_WIN
T000266,CS.D.EURUSD.MINI.IP,BULL,2025-06-12 13:00:00,2025-06-12 13:15:00,1.1614099999999998,1.1599099999999998,94172.84,-15.000000000000568,-141.25926000000536,15,CLOSED_LOSS
T000268,CS.D.GBPUSD.MINI.IP,BULL,2025-06-12 13:40:00,2025-06-12 13:50:00,1.3610600000000002,1.3591100000000003,73193.58,-19.499999999998963,-142.72748099999242,10,CLOSED_LOSS
T000267,CS.D.USDJPY.MINI.IP,BEAR,2025-06-12 13:30:00,2025-06-12 14:00:00,143.373,143.523,951.52,-15.000000000000568,-142.7280000000054,30,CLOSED_LOSS
T000269,CS.D.GBPUSD.MINI.IP,BULL,2025-06-12 14:05:00,2025-06-12 15:10:00,1.36046,1.35851,70265.83,-19.499999999998963,-137.01836849999273,65,CLOSED_LOSS
T000270,CS.D.GBPUSD.MINI.IP,BULL,2025-06-12 14:35:00,2025-06-12 15:15:00,1.36026,1.3583100000000001,70265.83,-19.499999999998963,-137.01836849999273,40,CLOSED_LOSS
T000271,CS.D.USDJPY.MINI.IP,BEAR,2025-06-12 16:40:00,2025-06-12 22:15:00,143.634,143.38914539298926,876.92,24.48546070107227,214.71790197984294,335,CLOSED_WIN
T000272,CS.D.USDJPY.MINI.IP,BEAR,2025-06-12 16:50:00,2025-06-12 22:15:00,143.639,143.39518314654964,876.92,24.381685345036885,213.80787512769746,325,CLOSED_WIN
T000275,CS.D.USDJPY.MINI.IP,BEAR,2025-06-12 18:40:00,2025-06-12 23:40:00,143.526,143.24475,876.92,28.125,246.63375,300,CLOSED_WIN
T000273,CS.D.GBPUSD.MINI.IP,BULL,2025-06-12 18:10:00,2025-06-12 23:50:00,1.3593300000000001,1.3623431172508447,67455.2,30.131172508445214,203.25042677916736,340,CLOSED_WIN
T000274,CS.D.GBPUSD.MINI.IP,BULL,2025-06-12 18:40:00,2025-06-12 23:55:00,1.3594700000000002,1.3625915584204595,67455.2,31.215584204593583,210.5653475637701,315,CLOSED_WIN
T000277,CS.D.USDJPY.MINI.IP,BEAR,2025-06-12 22:35:00,2025-06-12 23:55:00,143.443,143.14685668886247,934.05,29.614331113754133,276.6126597680205,80,CLOSED_WIN
T000276,CS.D.EURUSD.MINI.IP,BULL,2025-06-12 22:35:00,2025-06-13 00:10:00,1.15892,1.15742,93405.43,-15.000000000000568,-140.10814500000532,95,CLOSED_LOSS
T000278,CS.D.USDJPY.MINI.IP,BEAR,2025-06-13 00:50:00,2025-06-13 01:05:00,142.977,143.127,1040.31,-15.000000000000568,-156.04650000000592,15,CLOSED_LOSS
T000279,CS.D.USDJPY.MINI.IP,BEAR,2025-06-13 01:00:00,2025-06-13 01:20:00,143.005,143.155,1040.31,-15.000000000000568,-156.04650000000592,20,CLOSED_LOSS
T000280,CS.D.USDJPY.MINI.IP,BEAR,2025-06-13 01:10:00,2025-06-13 01:20:00,143.024,143.174,1019.51,-15.000000000000568,-152.9265000000058,10,CLOSED_LOSS
T000281,CS.D.GBPUSD.MINI.IP,BEAR,2025-06-16 04:00:00,2025-06-16 05:10:00,1.35395,1.3558999999999999,75254.79,-19.499999999998963,-146.7468404999922,70,CLOSED_LOSS
T000283,CS.D.USDJPY.MINI.IP,BULL,2025-06-16 04:40:00,2025-06-16 05:10:00,144.34199999999998,144.19199999999998,978.31,-15.000000000000568,-146.74650000000554,30,CLOSED_LOSS
T000282,CS.D.EURUSD.MINI.IP,BEAR,2025-06-16 04:35:00,2025-06-16 05:15:00,1.15351,1.15501,97831.23,-15.000000000000568,-146.74684500000555,40,CLOSED_LOSS
T000285,CS.D.EURUSD.MINI.IP,BULL,2025-06-16 06:35:00,2025-06-16 07:20:00,1.15532,1.1579652317491849,91961.36,26.45231749184962,243.25910917022802,45,CLOSED_WIN
T000286,CS.D.USDJPY.MINI.IP,BULL,2025-06-16 08:00:00,2025-06-16 10:00:00,144.238,144.088,952.05,-15.000000000000568,-142.8075000000054,120,CLOSED_LOSS
T000284,CS.D.GBPUSD.MINI.IP,BULL,2025-06-16 06:30:00,2025-06-16 13:20:00,1.35688,1.3602811903460765,70739.51,34.01190346076444,240.59853849817804,410,CLOSED_WIN
T000290,CS.D.GBPUSD.MINI.IP,BULL,2025-06-16 11:05:00,2025-06-16 14:00:00,1.35854,1.361471753253073,71769.78,29.31753253072822,210.41128598732075,175,CLOSED_WIN
T000287,CS.D.EURUSD.MINI.IP,BULL,2025-06-16 08:10:00,2025-06-16 14:05:00,1.1580899999999998,1.1609025,95204.81,28.125000000001066,267.76352812501017,355,CLOSED_WIN
T000288,CS.D.GBPUSD.MINI.IP,BULL,2025-06-16 08:20:00,2025-06-16 14:05:00,1.3584200000000002,1.3617087019728684,73234.47,32.887019728682354,240.84634597095962,345,CLOSED_WIN
T000289,CS.D.EURUSD.MINI.IP,BULL,2025-06-16 08:25:00,2025-06-16 14:05:00,1.15807,1.1608825,95204.81,28.125000000001066,267.76352812501017,340,CLOSED_WIN
T000292,CS.D.GBPUSD.MINI.IP,BULL,2025-06-16 14:25:00,2025-06-16 14:55:00,1.36138,1.3594300000000001,84358.33,-19.499999999998963,-164.49874349999126,30,CLOSED_LOSS
T000291,CS.D.EURUSD.MINI.IP,BULL,2025-06-16 13:55:00,2025-06-16 15:10:00,1.1602299999999999,1.1587299999999998,96508.69,-15.000000000000568,-144.7630350000055,75,CLOSED_LOSS
T000293,CS.D.USDJPY.MINI.IP,BULL,2025-06-16 16:50:00,2025-06-16 18:20:00,144.189,144.47025,1055.42,28.125,296.836875,90,CLOSED_WIN
T000296,CS.D.USDJPY.MINI.IP,BULL,2025-06-16 20:30:00,2025-06-16 22:35:00,144.786,144.636,1095.0,-15.000000000000568,-164.25000000000625,125,CLOSED_LOSS
T000294,CS.D.GBPUSD.MINI.IP,BEAR,2025-06-16 20:10:00,2025-06-17 04:15:00,1.35779,1.35777,84230.89,0.20000000000131024,1.6846178000110366,485,CLOSED_BE
T000295,CS.D.GBPUSD.MINI.IP,BEAR,2025-06-16 20:30:00,2025-06-17 04:35:00,1.35795,1.35768,84230.89,2.6999999999999247,22.74234029999937,485,CLOSED_BE
T000297,CS.D.EURUSD.MINI.IP,BEAR,2025-06-16 20:35:00,2025-06-17 04:40:00,1.15598,1.15652,109500.16,-5.399999999999849,-59.13008639999836,485,CLOSED_BE
T000298,CS.D.EURUSD.MINI.IP,BEAR,2025-06-16 20:55:00,2025-06-17 05:00:00,1.15579,1.15614,109500.16,-3.4999999999985043,-38.325055999983626,485,CLOSED_BE
T000300,CS.D.USDJPY.MINI.IP,BULL,2025-06-17 06:25:00,2025-06-17 06:35:00,144.731,144.581,1063.36,-15.000000000000568,-159.50400000000604,10,CLOSED_LOSS
T000301,CS.D.USDJPY.MINI.IP,BULL,2025-06-17 06:40:00,2025-06-17 07:00:00,144.756,145.0188487804878,1042.1,26.284878048778637,273.9147141463222,20,CLOSED_WIN
T000299,CS.D.EURUSD.MINI.IP,BEAR,2025-06-16 23:20:00,2025-06-17 07:25:00,1.15573,1.15552,107310.16,2.0999999999982144,22.53513359998084,485,CLOSED_BE
T000303,CS.D.USDJPY.MINI.IP,BULL,2025-06-17 07:30:00,2025-06-17 07:40:00,144.803,144.653,1081.62,-15.000000000000568,-162.24300000000613,10,CLOSED_LOSS
T000304,CS.D.EURUSD.MINI.IP,BEAR,2025-06-17 08:00:00,2025-06-17 11:00:00,1.15554,1.15704,105999.15,-15.000000000000568,-158.998725000006,180,CLOSED_LOSS
T000307,CS.D.EURUSD.MINI.IP,BEAR,2025-06-17 08:30:00,2025-06-17 11:00:00,1.15548,1.1569800000000001,105999.15,-15.000000000000568,-158.998725000006,150,CLOSED_LOSS
T000309,CS.D.USDJPY.MINI.IP,BEAR,2025-06-17 12:20:00,2025-06-17 12:40:00,144.626,144.776,1017.59,-15.000000000000568,-152.6385000000058,20,CLOSED_LOSS
T000308,CS.D.EURUSD.MINI.IP,BULL,2025-06-17 12:00:00,2025-06-17 12:50:00,1.1565999999999999,1.1550999999999998,101759.19,-15.000000000000568,-152.63878500000578,50,CLOSED_LOSS
T000302,CS.D.GBPUSD.MINI.IP,BEAR,2025-06-17 06:50:00,2025-06-17 14:15:00,1.35651,1.353337487286504,80161.33,31.725127134960562,254.31283855575282,445,CLOSED_WIN
T000305,CS.D.GBPUSD.MINI.IP,BEAR,2025-06-17 08:00:00,2025-06-17 14:15:00,1.3563,1.352953014832922,81537.81,33.469851670779875,272.90584062602323,375,CLOSED_WIN
T000306,CS.D.GBPUSD.MINI.IP,BEAR,2025-06-17 08:20:00,2025-06-17 14:15:00,1.35632,1.3532441641395847,81537.81,30.758358604152658,250.79691997772647,355,CLOSED_WIN
T000311,CS.D.EURUSD.MINI.IP,BEAR,2025-06-17 15:20:00,2025-06-17 15:25:00,1.15243,1.1521408571428573,108062.36,2.8914285714276566,31.245459519990114,5,CLOSED_WIN
T000313,CS.D.USDJPY.MINI.IP,BULL,2025-06-17 15:50:00,2025-06-17 16:10:00,145.1,144.95,1084.79,-15.000000000000568,-162.71850000000615,20,CLOSED_LOSS
T000310,CS.D.GBPUSD.MINI.IP,BEAR,2025-06-17 15:15:00,2025-06-17 16:45:00,1.35122,1.3480359090909093,83124.9,31.840909090907754,264.6772384090798,90,CLOSED_WIN
T000312,CS.D.GBPUSD.MINI.IP,BEAR,2025-06-17 15:45:00,2025-06-17 16:45:00,1.35085,1.3473699090909093,83445.36,34.80090909090849,290.3974387418132,60,CLOSED_WIN
T000314,CS.D.GBPUSD.MINI.IP,BEAR,2025-06-17 16:05:00,2025-06-17 16:45:00,1.35085,1.3473699090909093,83445.36,34.80090909090849,290.3974387418132,40,CLOSED_WIN
T000315,CS.D.GBPUSD.MINI.IP,BEAR,2025-06-17 16:15:00,2025-06-17 16:45:00,1.35083,1.347333909090909,81776.45,34.96090909090866,285.89790342272374,30,CLOSED_WIN
T000316,CS.D.EURUSD.MINI.IP,BEAR,2025-06-17 16:20:00,2025-06-17 16:50:00,1.15296,1.150443880037304,106309.39,25.16119962695962,267.48717840103046,30,CLOSED_WIN
T000318,CS.D.GBPUSD.MINI.IP,BEAR,2025-06-17 17:35:00,2025-06-17 18:55:00,1.34621,1.3427,96123.71,35.09999999999902,337.39422209999066,80,CLOSED_WIN
T000320,CS.D.USDJPY.MINI.IP,BULL,2025-06-17 18:45:00,2025-06-17 20:00:00,145.35,145.2,1249.61,-15.000000000000568,-187.44150000000707,75,CLOSED_LOSS
T000321,CS.D.GBPUSD.MINI.IP,BEAR,2025-06-17 19:50:00,2025-06-17 20:15:00,1.34259,1.3414409090909092,99584.16,11.490909090907664,114.43125294544035,25,CLOSED_WIN
T000322,CS.D.EURUSD.MINI.IP,BEAR,2025-06-17 20:00:00,2025-06-18 00:40:00,1.14788,1.14938,126960.19,-15.000000000000568,-190.44028500000724,280,CLOSED_LOSS
T000324,CS.D.EURUSD.MINI.IP,BEAR,2025-06-17 20:40:00,2025-06-18 00:40:00,1.1477,1.1492,128485.94,-15.000000000000568,-192.72891000000732,240,CLOSED_LOSS
T000317,CS.D.EURUSD.MINI.IP,BEAR,2025-06-17 17:35:00,2025-06-18 01:40:00,1.14962,1.14946,124960.82,1.6000000000016001,19.993731200019997,485,CLOSED_BE
T000319,CS.D.USDJPY.MINI.IP,BULL,2025-06-17 17:35:00,2025-06-18 01:40:00,145.212,145.295,1249.61,8.29999999999984,103.717629999998,485,CLOSED_BE
T000323,CS.D.GBPUSD.MINI.IP,BEAR,2025-06-17 20:30:00,2025-06-18 03:30:00,1.34234,1.34429,98835.34,-19.499999999998963,-192.72891299998977,420,CLOSED_LOSS
T000325,CS.D.USDJPY.MINI.IP,BEAR,2025-06-18 04:05:00,2025-06-18 04:20:00,145.063,145.05375121951218,1224.57,0.9248780487808972,11.325779121956232,15,CLOSED_WIN
T000327,CS.D.USDJPY.MINI.IP,BEAR,2025-06-18 05:00:00,2025-06-18 05:25:00,144.998,144.9367512195122,1226.08,6.124878048780147,75.09590478048362,25,CLOSED_WIN
T000328,CS.D.USDJPY.MINI.IP,BEAR,2025-06-18 05:10:00,2025-06-18 05:25:00,144.996,144.9331512195122,1226.08,6.284878048779774,77.05763278047905,15,CLOSED_WIN
T000329,CS.D.USDJPY.MINI.IP,BEAR,2025-06-18 06:20:00,2025-06-18 08:15:00,144.932,145.082,1246.37,-15.000000000000568,-186.95550000000708,115,CLOSED_LOSS
T000330,CS.D.USDJPY.MINI.IP,BEAR,2025-06-18 06:40:00,2025-06-18 08:15:00,144.947,145.097,1246.37,-15.000000000000568,-186.95550000000708,95,CLOSED_LOSS
T000332,CS.D.EURUSD.MINI.IP,BULL,2025-06-18 08:00:00,2025-06-18 08:35:00,1.15166,1.1501599999999998,124636.51,-15.000000000000568,-186.9547650000071,35,CLOSED_LOSS
T000331,CS.D.EURUSD.MINI.IP,BULL,2025-06-18 06:50:00,2025-06-18 09:55:00,1.15123,1.14973,124636.51,-15.000000000000568,-186.9547650000071,185,CLOSED_LOSS
T000326,CS.D.USDJPY.MINI.IP,BEAR,2025-06-18 04:15:00,2025-06-18 10:40:00,145.076,144.80030710323797,1224.57,27.569289676202402,337.60525058787175,385,CLOSED_WIN
T000334,CS.D.USDJPY.MINI.IP,BEAR,2025-06-19 00:50:00,2025-06-19 01:05:00,144.871,145.02100000000002,1191.67,-15.000000000000568,-178.75050000000678,15,CLOSED_LOSS
T000335,CS.D.GBPUSD.MINI.IP,BEAR,2025-06-19 01:00:00,2025-06-19 01:05:00,1.3405,1.3400280000000002,91666.9,4.719999999998059,43.2667767999822,5,CLOSED_WIN
T000336,CS.D.GBPUSD.MINI.IP,BEAR,2025-06-19 01:20:00,2025-06-19 01:55:00,1.34058,1.3401720000000004,90277.32,4.079999999997419,36.833146559976704,35,CLOSED_WIN
T000333,CS.D.EURUSD.MINI.IP,BEAR,2025-06-19 00:15:00,2025-06-19 06:30:00,1.14749,1.1446342063940445,119166.97,28.55793605955448,340.3162709670847,375,CLOSED_WIN
T000337,CS.D.EURUSD.MINI.IP,BEAR,2025-06-19 03:20:00,2025-06-19 07:20:00,1.14545,1.1469500000000001,117851.63,-15.000000000000568,-176.7774450000067,240,CLOSED_LOSS
T000338,CS.D.USDJPY.MINI.IP,BULL,2025-06-19 06:00:00,2025-06-19 10:10:00,145.202,145.51231217926787,1178.52,31.03121792678678,365.7091095107676,250,CLOSED_WIN
T000342,CS.D.GBPUSD.MINI.IP,BULL,2025-06-19 09:20:00,2025-06-19 10:20:00,1.3423800000000001,1.3438170909090907,92332.42,14.370909090906103,132.69008139633607,60,CLOSED_WIN
T000339,CS.D.USDJPY.MINI.IP,BULL,2025-06-19 07:35:00,2025-06-19 10:45:00,145.337,145.6290667125172,1200.32,29.20667125171974,350.5735163686424,190,CLOSED_WIN
