epic,smc_config,confidence_level,timeframe,stop_loss_pips,take_profit_pips,risk_reward_ratio,total_signals,winning_signals,losing_signals,win_rate,net_pips,profit_factor,performance_score,confluence_accuracy,timestamp
CS.D.AUDJPY.MINI.IP,default,0.55,15m,10,20,2.0,241,213,28,88.38,3980.0,15.214,462.948980,88.38,2025-09-12T18:36:29.158274
CS.D.AUDJPY.MINI.IP,moderate,0.55,15m,10,20,2.0,580,453,127,78.10,7790.0,7.134,461.662542,78.10,2025-09-12T18:36:30.843213
CS.D.AUDJPY.MINI.IP,conservative,0.55,15m,10,20,2.0,241,213,28,88.38,3980.0,15.214,462.948980,88.38,2025-09-12T18:36:32.502311
CS.D.AUDJPY.MINI.IP,aggressive,0.55,15m,10,20,2.0,580,382,198,65.86,5660.0,3.859,210.568543,65.86,2025-09-12T18:36:33.961775
CS.D.AUDJPY.MINI.IP,scalping,0.55,15m,10,20,2.0,580,349,231,60.17,4670.0,3.022,150.650588,60.17,2025-09-12T18:36:35.355649
CS.D.AUDJPY.MINI.IP,swing,0.55,15m,10,20,2.0,25,21,4,84.00,380.0,10.500,31.500000,84.00,2025-09-12T18:36:36.631332
CS.D.AUDJPY.MINI.IP,news_safe,0.55,15m,10,20,2.0,241,213,28,88.38,3980.0,15.214,462.948980,88.38,2025-09-12T18:36:38.465395
CS.D.AUDJPY.MINI.IP,crypto,0.55,15m,10,20,2.0,580,417,163,71.90,6710.0,5.117,304.801052,71.90,2025-09-12T18:36:39.952510
CS.D.AUDUSD.MINI.IP,default,0.55,15m,10,20,2.0,297,265,32,89.23,4980.0,16.562,627.008929,89.23,2025-09-12T18:36:41.856291
CS.D.AUDUSD.MINI.IP,moderate,0.55,15m,10,20,2.0,683,547,136,80.09,9580.0,8.044,628.590336,80.09,2025-09-12T18:36:43.247794
CS.D.AUDUSD.MINI.IP,conservative,0.55,15m,10,20,2.0,297,265,32,89.23,4980.0,16.562,627.008929,89.23,2025-09-12T18:36:44.703022
CS.D.AUDUSD.MINI.IP,aggressive,0.55,15m,10,20,2.0,683,484,199,70.86,7690.0,4.864,336.333094,70.86,2025-09-12T18:36:46.397502
CS.D.AUDUSD.MINI.IP,scalping,0.55,15m,10,20,2.0,683,451,232,66.03,6700.0,3.888,250.493842,66.03,2025-09-12T18:36:48.573927
CS.D.AUDUSD.MINI.IP,swing,0.55,15m,10,20,2.0,42,36,6,85.71,660.0,12.000,61.714286,85.71,2025-09-12T18:36:50.323966
CS.D.AUDUSD.MINI.IP,news_safe,0.55,15m,10,20,2.0,297,265,32,89.23,4980.0,16.562,627.008929,89.23,2025-09-12T18:36:52.030287
CS.D.AUDUSD.MINI.IP,crypto,0.55,15m,10,20,2.0,683,513,170,75.11,8560.0,6.035,442.300840,75.11,2025-09-12T18:36:53.754278
CS.D.EURJPY.MINI.IP,default,0.55,15m,10,20,2.0,209,181,28,86.60,3340.0,12.929,334.295918,86.60,2025-09-12T18:36:55.503934
CS.D.EURJPY.MINI.IP,moderate,0.55,15m,10,20,2.0,557,431,126,77.38,7360.0,6.841,421.226757,77.38,2025-09-12T18:36:56.971722
CS.D.EURJPY.MINI.IP,conservative,0.55,15m,10,20,2.0,209,181,28,86.60,3340.0,12.929,334.295918,86.60,2025-09-12T18:36:58.396286
CS.D.EURJPY.MINI.IP,aggressive,0.55,15m,10,20,2.0,557,371,186,66.61,5560.0,3.989,211.430108,66.61,2025-09-12T18:37:00.149999
CS.D.EURJPY.MINI.IP,scalping,0.55,15m,10,20,2.0,557,353,204,63.38,5020.0,3.461,174.522409,63.38,2025-09-12T18:37:01.474336
CS.D.EURJPY.MINI.IP,swing,0.55,15m,10,20,2.0,36,28,8,77.78,480.0,7.000,28.000000,77.78,2025-09-12T18:37:02.783987
CS.D.EURJPY.MINI.IP,news_safe,0.55,15m,10,20,2.0,209,181,28,86.60,3340.0,12.929,334.295918,86.60,2025-09-12T18:37:04.071724
CS.D.EURJPY.MINI.IP,crypto,0.55,15m,10,20,2.0,557,393,164,70.56,6220.0,4.793,269.074913,70.56,2025-09-12T18:37:06.053370
CS.D.EURUSD.CEEM.IP,default,0.55,15m,10,20,2.0,266,235,31,88.35,4390.0,15.161,508.986175,88.35,2025-09-12T18:37:07.557552
CS.D.EURUSD.CEEM.IP,moderate,0.55,15m,10,20,2.0,570,466,104,81.75,8280.0,8.962,596.582418,81.75,2025-09-12T18:37:08.866527
CS.D.EURUSD.CEEM.IP,conservative,0.55,15m,10,20,2.0,266,235,31,88.35,4390.0,15.161,508.986175,88.35,2025-09-12T18:37:10.266070
CS.D.EURUSD.CEEM.IP,aggressive,0.55,15m,10,20,2.0,570,400,170,70.18,6300.0,4.706,268.907563,70.18,2025-09-12T18:37:11.634795
CS.D.EURUSD.CEEM.IP,scalping,0.55,15m,10,20,2.0,570,371,199,65.09,5430.0,3.729,197.618090,65.09,2025-09-12T18:37:12.989665
CS.D.EURUSD.CEEM.IP,swing,0.55,15m,10,20,2.0,34,28,6,82.35,500.0,9.333,37.333333,82.35,2025-09-12T18:37:14.209911
CS.D.EURUSD.CEEM.IP,news_safe,0.55,15m,10,20,2.0,266,235,31,88.35,4390.0,15.161,508.986175,88.35,2025-09-12T18:37:15.779786
CS.D.EURUSD.CEEM.IP,crypto,0.55,15m,10,20,2.0,570,433,137,75.96,7290.0,6.321,391.009385,75.96,2025-09-12T18:37:17.684736
CS.D.GBPUSD.MINI.IP,default,0.55,15m,10,20,2.0,282,254,28,90.07,4800.0,18.143,658.326531,90.07,2025-09-12T18:37:19.857278
CS.D.GBPUSD.MINI.IP,moderate,0.55,15m,10,20,2.0,650,525,125,80.77,9250.0,8.400,630.000000,80.77,2025-09-12T18:37:21.385740
CS.D.GBPUSD.MINI.IP,conservative,0.55,15m,10,20,2.0,282,254,28,90.07,4800.0,18.143,658.326531,90.07,2025-09-12T18:37:22.647848
CS.D.GBPUSD.MINI.IP,aggressive,0.55,15m,10,20,2.0,650,457,193,70.31,7210.0,4.736,309.176906,70.31,2025-09-12T18:37:23.928900
CS.D.GBPUSD.MINI.IP,scalping,0.55,15m,10,20,2.0,650,428,222,65.85,6340.0,3.856,235.758044,65.85,2025-09-12T18:37:25.809402
CS.D.GBPUSD.MINI.IP,swing,0.55,15m,10,20,2.0,59,54,5,91.53,1030.0,21.600,166.628571,91.53,2025-09-12T18:37:27.643777
CS.D.GBPUSD.MINI.IP,news_safe,0.55,15m,10,20,2.0,282,254,28,90.07,4800.0,18.143,658.326531,90.07,2025-09-12T18:37:29.378446
CS.D.GBPUSD.MINI.IP,crypto,0.55,15m,10,20,2.0,650,491,159,75.54,8230.0,6.176,433.209344,75.54,2025-09-12T18:37:30.716642
CS.D.NZDUSD.MINI.IP,default,0.55,15m,10,20,2.0,308,274,34,88.96,5140.0,16.118,630.890756,88.96,2025-09-12T18:37:32.578508
CS.D.NZDUSD.MINI.IP,moderate,0.55,15m,10,20,2.0,705,557,148,79.01,9660.0,7.527,598.936293,79.01,2025-09-12T18:37:34.400179
CS.D.NZDUSD.MINI.IP,conservative,0.55,15m,10,20,2.0,308,274,34,88.96,5140.0,16.118,630.890756,88.96,2025-09-12T18:37:35.968123
CS.D.NZDUSD.MINI.IP,aggressive,0.55,15m,10,20,2.0,705,489,216,69.36,7620.0,4.528,316.297619,69.36,2025-09-12T18:37:38.048551
CS.D.NZDUSD.MINI.IP,scalping,0.55,15m,10,20,2.0,705,456,249,64.68,6630.0,3.663,238.595525,64.68,2025-09-12T18:37:39.655380
CS.D.NZDUSD.MINI.IP,swing,0.55,15m,10,20,2.0,38,32,6,84.21,580.0,10.667,48.761905,84.21,2025-09-12T18:37:42.029004
CS.D.NZDUSD.MINI.IP,news_safe,0.55,15m,10,20,2.0,308,274,34,88.96,5140.0,16.118,630.890756,88.96,2025-09-12T18:37:43.572309
CS.D.NZDUSD.MINI.IP,crypto,0.55,15m,10,20,2.0,705,518,187,73.48,8490.0,5.540,409.967914,73.48,2025-09-12T18:37:44.833138
CS.D.USDCAD.MINI.IP,default,0.55,15m,10,20,2.0,296,267,29,90.20,5050.0,18.414,702.354680,90.20,2025-09-12T18:37:47.041209
CS.D.USDCAD.MINI.IP,moderate,0.55,15m,10,20,2.0,701,552,149,78.74,9550.0,7.409,584.283797,78.74,2025-09-12T18:37:48.638609
CS.D.USDCAD.MINI.IP,conservative,0.55,15m,10,20,2.0,296,267,29,90.20,5050.0,18.414,702.354680,90.20,2025-09-12T18:37:50.565584
CS.D.USDCAD.MINI.IP,aggressive,0.55,15m,10,20,2.0,701,476,225,67.90,7270.0,4.231,287.715556,67.90,2025-09-12T18:37:51.963257
CS.D.USDCAD.MINI.IP,scalping,0.55,15m,10,20,2.0,701,442,259,63.05,6250.0,3.413,215.514617,63.05,2025-09-12T18:37:53.897886
CS.D.USDCAD.MINI.IP,swing,0.55,15m,10,20,2.0,44,38,6,86.36,700.0,12.667,68.761905,86.36,2025-09-12T18:37:55.146327
CS.D.USDCAD.MINI.IP,news_safe,0.55,15m,10,20,2.0,296,267,29,90.20,5050.0,18.414,702.354680,90.20,2025-09-12T18:37:56.794576
CS.D.USDCAD.MINI.IP,crypto,0.55,15m,10,20,2.0,701,512,189,73.04,8350.0,5.418,396.287226,73.04,2025-09-12T18:37:58.331195
CS.D.USDCHF.MINI.IP,default,0.55,15m,10,20,2.0,294,257,37,87.41,4770.0,13.892,510.030888,87.41,2025-09-12T18:38:00.812002
CS.D.USDCHF.MINI.IP,moderate,0.55,15m,10,20,2.0,688,535,153,77.76,9170.0,6.993,534.500467,77.76,2025-09-12T18:38:02.242975
CS.D.USDCHF.MINI.IP,conservative,0.55,15m,10,20,2.0,294,257,37,87.41,4770.0,13.892,510.030888,87.41,2025-09-12T18:38:03.552570
CS.D.USDCHF.MINI.IP,aggressive,0.55,15m,10,20,2.0,688,462,226,67.15,6980.0,4.088,269.840708,67.15,2025-09-12T18:38:05.545524
CS.D.USDCHF.MINI.IP,scalping,0.55,15m,10,20,2.0,688,424,264,61.63,5840.0,3.212,194.562771,61.63,2025-09-12T18:38:07.205491
CS.D.USDCHF.MINI.IP,swing,0.55,15m,10,20,2.0,46,39,7,84.78,710.0,11.143,62.081633,84.78,2025-09-12T18:38:09.015730
CS.D.USDCHF.MINI.IP,news_safe,0.55,15m,10,20,2.0,294,257,37,87.41,4770.0,13.892,510.030888,87.41,2025-09-12T18:38:10.558201
CS.D.USDCHF.MINI.IP,crypto,0.55,15m,10,20,2.0,688,492,196,71.51,7880.0,5.020,352.862974,71.51,2025-09-12T18:38:12.027326
CS.D.USDJPY.MINI.IP,default,0.55,15m,10,20,2.0,274,242,32,88.32,4520.0,15.125,522.892857,88.32,2025-09-12T18:38:13.699468
CS.D.USDJPY.MINI.IP,moderate,0.55,15m,10,20,2.0,613,492,121,80.26,8630.0,8.132,571.579693,80.26,2025-09-12T18:38:15.118854
CS.D.USDJPY.MINI.IP,conservative,0.55,15m,10,20,2.0,274,242,32,88.32,4520.0,15.125,522.892857,88.32,2025-09-12T18:38:16.326317
CS.D.USDJPY.MINI.IP,aggressive,0.55,15m,10,20,2.0,613,430,183,70.15,6770.0,4.699,288.680718,70.15,2025-09-12T18:38:17.884216
CS.D.USDJPY.MINI.IP,scalping,0.55,15m,10,20,2.0,613,397,216,64.76,5780.0,3.676,208.477513,64.76,2025-09-12T18:38:19.737366
CS.D.USDJPY.MINI.IP,swing,0.55,15m,10,20,2.0,47,43,4,91.49,820.0,21.500,132.071429,91.49,2025-09-12T18:38:21.339791
CS.D.USDJPY.MINI.IP,news_safe,0.55,15m,10,20,2.0,274,242,32,88.32,4520.0,15.125,522.892857,88.32,2025-09-12T18:38:22.791930
CS.D.USDJPY.MINI.IP,crypto,0.55,15m,10,20,2.0,613,463,150,75.53,7760.0,6.173,408.321905,75.53,2025-09-12T18:38:25.003420
